,TIC,period,morph,RA,DEC
474,437230910,0.380517,0.369,164.777188,-21.704917
475,458490358,0.380675,0.866,240.060446,35.208801
476,276836579,0.3814965,0.768,272.496385,-81.417526
477,141332108,0.3816202,0.709,45.676199,-7.685479
478,40102236,0.3816918,0.976,300.439412,38.735262
479,57297550,0.3822356,1.058,251.723168,38.649512
480,69838619,0.3833245,0.949,337.814209,-20.542426
481,239661117,0.38353,0.764,64.641463,34.611071
482,11487334,0.3840273,0.809,17.667133,-28.23127
483,22017780,0.3842047,0.809,195.818372,36.616846
484,164463075,0.3846784,0.692,283.25913,42.845596
485,149837469,0.3855918,0.748,352.004555,-33.997671
486,275911914,0.3856278,0.509,54.308673,69.180494
487,47309500,0.3868075,0.773,231.03536,-56.837434
488,322390461,0.3868962,0.619,326.736043,66.26859
489,186595806,0.3873824,0.693,44.971305,38.029995
490,143100813,0.3877488,0.806,256.82019,17.426842
491,254298146,0.3879395,0.771,355.085733,-25.502062
492,284703623,0.3879463,0.831,67.354074,9.091678
493,452955107,0.3879922,0.762,122.125822,0.132182
494,1630438,0.3905231,0.989,188.135358,-15.522916
495,288391801,0.3905846,0.784,267.235296,78.122855
496,419635446,0.3908187,0.743,323.43788,-67.563589
497,355635441,0.392583,0.771,357.988783,-57.422526
498,158389967,0.3927173,0.735,287.124638,43.600178
499,350716073,0.3931603,0.867,88.323369,-56.486005
500,405543959,0.3935661,0.904,256.851983,36.257147
501,193580427,0.394304,0.744,265.846184,47.861609
502,159950145,0.3950963,0.728,49.463961,-36.258405
503,121108244,0.3951054,0.703,287.080878,40.046366
504,198388252,0.395161,0.798,258.195339,57.052889
505,152362660,0.3958655,0.841,65.26183,-26.490987
506,93681365,0.3960371,0.42,114.559421,-9.952842
507,339752629,0.397421,0.865,279.823262,-47.372102
508,13135572,0.3983886,0.739,76.737362,-29.60247
509,66715008,0.3984963,0.755,199.428817,-0.562394
510,257273424,0.3985663,0.762,256.880718,28.042028
511,118271404,0.399752,0.851,272.086535,-56.758469
512,118271395,0.3997855,0.848,272.094477,-56.767167
513,44797681,0.4009503,0.93,62.458818,-25.320954
514,66080183,0.4011578,0.745,340.661091,53.417453
515,24606516,0.4019809,0.857,80.802375,-9.128427
516,129781743,0.40249,0.75,36.248037,-38.688121
517,332517282,0.402493,0.699,350.878071,-28.120611
518,75377304,0.4026334,0.842,7.089167,-14.887991
519,229461186,0.4026659,0.756,295.10263,60.920275
520,137905775,0.4031699,0.516,151.754309,54.37125
521,198457457,0.4034692,0.917,261.834402,56.374976
522,11480757,0.404167,0.862,303.983098,37.454313
523,302908037,0.4048561,0.502,110.286796,34.802412
524,242944454,0.4048724,0.801,58.604875,12.068839
525,193538686,0.4050058,0.711,305.907746,46.931102
526,21729403,0.405346,0.69,88.260416,-40.313719
527,255586667,0.4064729,0.801,96.692172,-53.063625
528,11546041,0.4068856,0.778,19.002509,-25.709167
529,219750638,0.4075024,0.77,261.112285,64.206637
530,18433724,0.4076033,0.819,265.972527,31.530094
531,27112021,0.4079911,0.957,200.06575,17.765833
532,445067946,0.4084367,0.909,130.725596,58.058222
533,123492200,0.4084753,0.961,282.552864,45.595574
534,182894226,0.4086712,0.762,282.200168,-45.482389
535,422327572,0.4095596,0.857,203.192295,-17.758987
536,235385233,0.409656,0.55,103.629502,8.925754
537,453784977,0.4097216,0.776,199.205687,-45.816976
538,320536498,0.4106313,0.89,120.04423,9.85696
539,115105140,0.410686,0.766,316.495788,-36.25944
540,171084337,0.4107993,0.753,67.766588,30.453737
541,93053299,0.4110905,0.871,84.319625,-23.661168
